Song Title,Artists,BPM,Comments,Length
"La Bamba","Los Lobos","156","80s Rock- A Sides/Classic Rock","2:52"

"Land Of Confusion","Phil Collins -Genesis","115","80s Rock- A Sides/Pop/Classic Rock","4:44"

"Legs","ZZ Top","125.370000","80s Rock- A Sides/Guitar-Alt/Classic Rock","4:31"

"Let It Go","Def Leppard","138","80s Rock- B Sides/Guitar","4:43"

"Let's Dance","David Bowie","114","80s Rock- A Sides/Pop/Classic Rock/MensSports","4:10"

"Let's Go All The Way","Sly Fox","98","80s Rock- B Sides","3:59"

"Lick It Up","Kiss","120","80s Rock- B Sides","3:57"

"Lies","Thompson Twins","130","80s Rock- A Sides/New Wave/Alt","3:13"

"Life During Wartime (warped)","Talking Heads","138","80s Rock- B Sides","5:51"

"Like a Prayer","Madonna","112","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","5:51"

"Like a Virgin","Madonna","119","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","3:11"

"Little Lies (Dj Special 2021)","Fleetwood Mac","124","80s Rock- B Sides","3:34"

"Livin' on a Prayer","Bon Jovi","122","80s Rock- A Sides/Guitar-Alt/New Wave/Alt/MensSports","4:09"

"Living After Midnight","Judas Priest","135","80s Rock- A Sides/Guitar-Alt/Classic Rock/MensSports","3:10"

"Living In Oblivion","Anything Box","124","80s Rock- B Sides","5:07"

"Looks That Kill","Motley Crue","135","80s Rock- B Sides/Guitar","4:07"

"Love in an Elevator","Aerosmith","94","80s Rock- A Sides/Guitar-Alt/Classic Rock","5:22"

"Love Is a Battlefield (Dj Cut 2025)2.0","Pat Benatar","90.460000","80s Rock- A Sides/Classic Rock/WMSport","5:39"

"Love Shack (Dj Cut 2024 OK!)","The B-52's","133","80s Rock- A Sides/Classic Rock/WMSport","4:22"

"Love Stinks","The J. Geils Band","89","80s Rock- B Sides","3:45"

"Lovesong (Extended Mix)","The Cure","140","80s Rock- A Sides/Pop/New Wave/Alt","6:21"

"Lucky Star","Madonna","118","80s Rock- A Sides/Pop/Classic Rock/New Wave/Alt","3:37"

"Mad About You","Belinda Carlisle","144","80s Rock- B Sides","3:38"

"Magic","Olivia Newton-John","104","80s Rock- B Sides","4:32"

"Major Tom (Coming Home) - 83","Peter Schilling","82","80s Rock- B Sides","4:00"

"Maneater - 178 (4 Phrase)","Hall & Oates","88","80s Rock- A Sides/Pop/Classic Rock","4:32"

